Location,Indicator,Period,First Tooltip
Ghana,"Psychiatrists working in mental health sector (per 100,000)",2016,0.058
Greece,"Psychiatrists working in mental health sector (per 100,000)",2016,5.8
Grenada,"Psychiatrists working in mental health sector (per 100,000)",2016,1.87
Guatemala,"Psychiatrists working in mental health sector (per 100,000)",2016,0.49
Guinea,"Psychiatrists working in mental health sector (per 100,000)",2016,0.025
Guyana,"Psychiatrists working in mental health sector (per 100,000)",2016,0.91
Haiti,"Psychiatrists working in mental health sector (per 100,000)",2016,0.075
Honduras,"Psychiatrists working in mental health sector (per 100,000)",2014,0.66
Hungary,"Psychiatrists working in mental health sector (per 100,000)",2016,11.08
India,"Psychiatrists working in mental health sector (per 100,000)",2016,0.29
Indonesia,"Psychiatrists working in mental health sector (per 100,000)",2016,0.31
Iran (Islamic Republic of),"Psychiatrists working in mental health sector (per 100,000)",2017,2.02
Iraq,"Psychiatrists working in mental health sector (per 100,000)",2017,0.34
Israel,"Psychiatrists working in mental health sector (per 100,000)",2016,9.87
Italy,"Psychiatrists working in mental health sector (per 100,000)",2015,5.98
Jamaica,"Psychiatrists working in mental health sector (per 100,000)",2015,1.15
Japan,"Psychiatrists working in mental health sector (per 100,000)",2016,11.87
Jordan,"Psychiatrists working in mental health sector (per 100,000)",2016,1.12
Kenya,"Psychiatrists working in mental health sector (per 100,000)",2016,0.18
Kyrgyzstan,"Psychiatrists working in mental health sector (per 100,000)",2016,1.69
Latvia,"Psychiatrists working in mental health sector (per 100,000)",2015,9.99
Lebanon,"Psychiatrists working in mental health sector (per 100,000)",2015,1.21
Liberia,"Psychiatrists working in mental health sector (per 100,000)",2016,0.044
Lithuania,"Psychiatrists working in mental health sector (per 100,000)",2016,18.45
Luxembourg,"Psychiatrists working in mental health sector (per 100,000)",2015,17.82
Madagascar,"Psychiatrists working in mental health sector (per 100,000)",2016,0.058
Malaysia,"Psychiatrists working in mental health sector (per 100,000)",2016,1.05
Maldives,"Psychiatrists working in mental health sector (per 100,000)",2017,2.39
Mali,"Psychiatrists working in mental health sector (per 100,000)",2016,0.029
Marshall Islands,"Psychiatrists working in mental health sector (per 100,000)",2017,0
Mauritania,"Psychiatrists working in mental health sector (per 100,000)",2013,0.072
Mauritius,"Psychiatrists working in mental health sector (per 100,000)",2017,2.38
Mexico,"Psychiatrists working in mental health sector (per 100,000)",2016,0.21
Monaco,"Psychiatrists working in mental health sector (per 100,000)",2016,31.33
Mongolia,"Psychiatrists working in mental health sector (per 100,000)",2016,4.03
Montenegro,"Psychiatrists working in mental health sector (per 100,000)",2016,8.28
Morocco,"Psychiatrists working in mental health sector (per 100,000)",2016,0.84
Mozambique,"Psychiatrists working in mental health sector (per 100,000)",2016,0.046
Myanmar,"Psychiatrists working in mental health sector (per 100,000)",2016,0.38
Namibia,"Psychiatrists working in mental health sector (per 100,000)",2016,0.37
Nepal,"Psychiatrists working in mental health sector (per 100,000)",2016,0.36
Netherlands,"Psychiatrists working in mental health sector (per 100,000)",2015,20.87
New Zealand,"Psychiatrists working in mental health sector (per 100,000)",2016,28.54
Nicaragua,"Psychiatrists working in mental health sector (per 100,000)",2017,0.69
Niger,"Psychiatrists working in mental health sector (per 100,000)",2016,0.014
Norway,"Psychiatrists working in mental health sector (per 100,000)",2016,48.04
Oman,"Psychiatrists working in mental health sector (per 100,000)",2015,1.74
Panama,"Psychiatrists working in mental health sector (per 100,000)",2016,4.03
Peru,"Psychiatrists working in mental health sector (per 100,000)",2016,2.95
Philippines,"Psychiatrists working in mental health sector (per 100,000)",2016,0.52
Poland,"Psychiatrists working in mental health sector (per 100,000)",2016,24.18
Qatar,"Psychiatrists working in mental health sector (per 100,000)",2016,2.71
Republic of Korea,"Psychiatrists working in mental health sector (per 100,000)",2016,5.79
Republic of Moldova,"Psychiatrists working in mental health sector (per 100,000)",2015,4.55
Romania,"Psychiatrists working in mental health sector (per 100,000)",2016,5.66
Russian Federation,"Psychiatrists working in mental health sector (per 100,000)",2015,8.48
Rwanda,"Psychiatrists working in mental health sector (per 100,000)",2016,0.06
Saint Kitts and Nevis,"Psychiatrists working in mental health sector (per 100,000)",2017,5.53
Saint Lucia,"Psychiatrists working in mental health sector (per 100,000)",2016,0.56
Samoa,"Psychiatrists working in mental health sector (per 100,000)",2016,1.55
Sao Tome and Principe,"Psychiatrists working in mental health sector (per 100,000)",2016,0.51
Saudi Arabia,"Psychiatrists working in mental health sector (per 100,000)",2016,1.32
Senegal,"Psychiatrists working in mental health sector (per 100,000)",2016,0.2
Serbia,"Psychiatrists working in mental health sector (per 100,000)",2017,8.64
Seychelles,"Psychiatrists working in mental health sector (per 100,000)",2016,2.13
Sierra Leone,"Psychiatrists working in mental health sector (per 100,000)",2017,0.041
Singapore,"Psychiatrists working in mental health sector (per 100,000)",2016,4.19
Slovenia,"Psychiatrists working in mental health sector (per 100,000)",2016,11.95
South Africa,"Psychiatrists working in mental health sector (per 100,000)",2016,1.52
South Sudan,"Psychiatrists working in mental health sector (per 100,000)",2016,0.025
Spain,"Psychiatrists working in mental health sector (per 100,000)",2015,9.69
Sri Lanka,"Psychiatrists working in mental health sector (per 100,000)",2017,0.52
Sudan,"Psychiatrists working in mental health sector (per 100,000)",2015,0.08
Suriname,"Psychiatrists working in mental health sector (per 100,000)",2016,1.27
Sweden,"Psychiatrists working in mental health sector (per 100,000)",2016,20.86
Switzerland,"Psychiatrists working in mental health sector (per 100,000)",2015,43.96
Syrian Arab Republic,"Psychiatrists working in mental health sector (per 100,000)",2016,0.37
Tajikistan,"Psychiatrists working in mental health sector (per 100,000)",2016,1.39
Thailand,"Psychiatrists working in mental health sector (per 100,000)",2016,0.72
The former Yugoslav Republic of Macedonia,"Psychiatrists working in mental health sector (per 100,000)",2017,14.43
Timor-Leste,"Psychiatrists working in mental health sector (per 100,000)",2016,0.081
Togo,"Psychiatrists working in mental health sector (per 100,000)",2016,0.054
Tonga,"Psychiatrists working in mental health sector (per 100,000)",2016,2.82
Turkey,"Psychiatrists working in mental health sector (per 100,000)",2016,1.64
Uganda,"Psychiatrists working in mental health sector (per 100,000)",2016,0.082
Ukraine,"Psychiatrists working in mental health sector (per 100,000)",2016,6.93
United Arab Emirates,"Psychiatrists working in mental health sector (per 100,000)",2016,1.65
United Republic of Tanzania,"Psychiatrists working in mental health sector (per 100,000)",2015,0.056
United States of America,"Psychiatrists working in mental health sector (per 100,000)",2016,10.54
Uruguay,"Psychiatrists working in mental health sector (per 100,000)",2016,14.13
Uzbekistan,"Psychiatrists working in mental health sector (per 100,000)",2016,2.61
Vanuatu,"Psychiatrists working in mental health sector (per 100,000)",2016,0.38
Yemen,"Psychiatrists working in mental health sector (per 100,000)",2016,0.2
Zambia,"Psychiatrists working in mental health sector (per 100,000)",2016,0.056
Zimbabwe,"Psychiatrists working in mental health sector (per 100,000)",2016,0.095
